Original Reference,Proposed Normalized Reference
Roads and Maritime Services Policy Number PN 141 - 'Drop-off & Pick-up' initiative around schools. Supplementary plate used with R5-40 (No Parking) sign.,RMS Policy Number PN 141 - 'Drop-off & Pick-up' initiative around schools. Supplementary plate used with R5-40 (No Parking) sign.
"Roads & Maritime Services Policy Number PN135 - Control of throwing, jumping or climbing from or on bridges","RMS Policy Number PN135 - Control of throwing, jumping or climbing from or on bridges"
RMS Supplement to AS1742 Part 2,RMS Supplement to AS1742 Part 2
RMS Technical Specification 142 - Warning signs and lights for school buses,RMS Technical Specification 142 - Warning signs and lights for school buses
Roads and Maritime Services Traffic Control At Worksites,RMS Traffic Control At Worksites
Roads and Maritime Services Traffic Control at Worksites,RMS Traffic Control at Worksites
Roads and Maritime Services Traffic Signal Design - Section 10,RMS Traffic Signal Design - Section 10
Roads and Maritime Services Traffic Signal Design Section 10,RMS Traffic Signal Design - Section 10
Roads & Maritime policy PN 266 - Naming of Roads and Bridges,Roads & Maritime policy PN 266 - Naming of Roads and Bridges
RTA Delineation Manual Section 9,RTA Delineation Manual Section 9
Signposting Country Technical Manual,Signposting Country Technical Manual
Special for Pitt St Mall Only,Special for Pitt St Mall Only
Special for use in Pitt St Mall Only,Special for Pitt St Mall Only
Superseded (Use G9-70),Superseded (Use G9-70)
Superseded (Use INDIVIDUAL),Superseded (Use INDIVIDUAL)
Superseded (Use R4-230N),Superseded (Use R4-230n)
Superseded (Use R4-240N),Superseded (Use R4-240n)
Superseded (Use R4-241N),Superseded (Use R4-241n)
Superseded (Use R5-200N),Superseded (Use R5-200n)
Superseded (Use R9-228N),Superseded (Use R9-228n)
Superseded (Use T1-34),Superseded (Use T1-34)
Supplement to Austroads Guide to Road Design Part 4A,Supplement to Austroads Guide to Road Design Part 4A
Supplementary plate,Supplementary plate
"TD 2003/RS01 - Signposting for Rest Areas, Driver Reviver Sites & other Rest Stops","TD 2003/RS01 - Signposting for Rest Areas, Driver Reviver Sites & other Rest Stops"
"TD 2003/RS01 - Signposting for Rest Areas, Driver Reviver Sites and other Rest Stops","TD 2003/RS01 - Signposting for Rest Areas, Driver Reviver Sites & other Rest Stops"
"TD 2003/RS01 - Signposting of Rest Areas, Driver Reviver sites and other Rest Stops","TD 2003/RS01 - Signposting for Rest Areas, Driver Reviver Sites & other Rest Stops"
"TD 2003/RS01 Signposting for Rest Areas, Driver Reviver sites and other Rest Stops","TD 2003/RS01 - Signposting for Rest Areas, Driver Reviver Sites & other Rest Stops"
"TD 2003/RS0-1 - Signposting of Rest Areas, Driver Reviver Sites and other Rest Stops","TD 2003/RS01 - Signposting for Rest Areas, Driver Reviver Sites & other Rest Stops"
"TD2003/RS01 - Signposting for Rest Areas, Driver Reviver Sites and other Rest Stops","TD 2003/RS01 - Signposting for Rest Areas, Driver Reviver Sites & other Rest Stops"
TD 2020/05,TD 2020/05
TDT2005/Signage Selection for Driver Reviver facilities,TDT 2005/Signage Selection for Driver Reviver facilities
TDT 2007/04,TDT 2007/04
TDT 2008/06,TDT 2008/06
TDT 2010/05,TDT 2010/05
TfNSW Guide Sign Manual (Bypass Town),TfNSW Guide Sign Manual (Bypass Towns)
TfnSW Guide Sign Manual (Bypass Towns),TfNSW Guide Sign Manual (Bypass Towns)
"TfNSW Policy Number PN135 - Control of fishing, jumping or climbing from or on bridges","TfNSW Policy Number PN135 - Control of fishing, jumping or climbing from or on bridges"
"TfNSW Policy Number PN135 - Control of fishing, jumping or climbing from or on bridges.","TfNSW Policy Number PN135 - Control of fishing, jumping or climbing from or on bridges"
TfNSW Speed Zoning Guidelines,TfNSW Speed Zoning Guidelines
TfNSW Tourist Signposting Guidelines,TfNSW Tourist Signposting Guidelines
Tourist signposting (TfNSW),TfNSW Tourist Signposting Guidelines
Tourist Signposting Manual (TfNSW),TfNSW Tourist Signposting Guidelines
Town Entry Gateway Treatment TS 00020:1.0,Town Entry Gateway Treatment TS 00020:1.0
Traffic Control at Worksites (Roads and Maritime Services),Traffic Control at Work Sites (RMS)
Traffic Control at Work Sites (Technical Manual),Traffic Control at Work Sites (Technical Manual)
Traffic Control at Work Sites (Technical Manual) 6.9.1,Traffic Control at Work Sites (Technical Manual) 6.9.1
Traffic Signal Design,Traffic Signal Design
Traffic Signal Design (Roads and Maritime Services ) - Section 10,Traffic Signal Design (RMS ) - Section 10
TS 05492 - Traffic Control at Worksites,TS 05492 - Traffic Control at Worksites
Use restricted / Requires New South Wales Centre for Road Safety approval,Use restricted / Requires NSW Centre for Road Safety approval
Use restricted / Requires NSW Centre for Road Safety approval,Use restricted / Requires NSW Centre for Road Safety approval
Use with W5-230n ONLY,Use with W5-230n ONLY
Use with W5-54 ONLY,Use with W5-54 ONLY
Used in conjuction with R7-7 Series or R7-223 signs.,Used in conjuction with R7-7 Series or R7-223 signs.
Used in conjunction with R6-234n and R6-235n Series signs.,Used in conjunction with R6-234n and R6-235n Series signs.
Used in conjunction with R7-7 Series or R7-223 signs.,Used in conjunction with R7-7 Series or R7-223 signs.
